Biol.Rep,Tracer,GroupLevel1,Lactate 89.07/89.07,Malate 133.09/115.09,Succinate 117.09/73.09,Taurine 124/80,Lactate 90.07/90.07,Malate 134.09/116.09,Malate 135.09/117.09,Succinate 118.09/73.09,Succinate 118.09/74.09,Succinate 119.09/74.09,Succinate 119.09/75.09,Taurine 126/82,Taurine 128/80
1.0,13CGln,G5Q2,0.985491554273086,0.7344354319162046,0.7571169924406166,1.0,0.014508445726914,0.2471662365881007,0.0183983314956946,0.1039635760390509,0.1228994810686512,0.0063867428898427,0.0096332075618385,1.0,1.0
2.0,13CGln,G5Q2,0.9793364664724292,0.6962253379432465,0.6988486327845302,1.0,0.0206635335275706,0.280653277946305,0.0231213841104485,0.1462961368579471,0.1479064015017468,0.0064752784711369,0.0004735503846387,1.0,1.0
3.0,13CGln,G5Q2,0.9792352955666976,0.7112652516715371,0.7479823058550357,1.0,0.0207647044333023,0.2692332247216208,0.019501523606842,0.1579890186541611,0.0825670672288799,0.0071090016930054,0.0043526065689177,1.0,1.0
4.0,13CGln,G5Q2,0.9811722324683734,0.6681368641545083,0.6936871821547076,1.0,0.0188277675316266,0.3127937074722482,0.0190694283732434,0.143409003936418,0.1458323950638025,0.0061010519098005,0.0109703669352713,1.0,1.0
1.0,13CGln,G7Q2,0.9852887312557004,0.7677644166156038,0.8072839470742562,1.0,0.0147112687442997,0.218760623442255,0.0134749599421411,0.0970872223129348,0.0850533263652432,0.0090745242988207,0.0015009799487451,1.0,1.0
2.0,13CGln,G7Q2,0.981845184040649,0.7026804711570198,0.6831561933688586,1.0,0.0181548159593509,0.2791108434543735,0.0182086853886066,0.1414104747574152,0.1668575294769011,0.008575802396825,0.0,1.0,1.0
3.0,13CGln,G7Q2,0.9865340517764666,0.7193091141304464,0.7291556768772082,1.0,0.0134659482235334,0.2586595327956483,0.0220313530739052,0.1189664170331356,0.1424412185048081,0.0073574947250284,0.0020791928598195,1.0,1.0
4.0,13CGln,G7Q2,0.9797568749513982,0.6742327780310329,0.6011657925223423,1.0,0.0202431250486017,0.3059831060568194,0.0197841159121476,0.1802717801598636,0.197099102764808,0.0110755641566701,0.0103877603963158,1.0,1.0
1.0,13CGln,G9Q2,0.9798486056954544,0.7180603425293889,0.7428584544673845,1.0,0.0201513943045455,0.2662591184452087,0.0156805390254022,0.1136140610973849,0.1319224611285254,0.0078565268464535,0.0037484964602514,1.0,1.0
2.0,13CGln,G9Q2,0.9789050159558074,0.7293269976890254,0.7303517816596699,1.0,0.0210949840441926,0.2558624896805837,0.0148105126303908,0.124759034895082,0.1328979562435718,0.009607742535183,0.0023834846664931,1.0,1.0
3.0,13CGln,G9Q2,0.974972056634491,0.6688642709441308,0.5874836355289377,1.0,0.025027943365509,0.3130896514352779,0.0180460776205914,0.187186817780241,0.2049132007318939,0.0120862594467272,0.0083300865122002,1.0,1.0
4.0,13CGln,G9Q2,0.9739476618564656,0.6620601682595693,0.571860970821723,1.0,0.0260523381435344,0.3188426930325255,0.0190971387079052,0.1951845292388492,0.2220560814744647,0.0103835990769751,0.0005148193879878,1.0,1.0
1.0,13CGln,G11Q2,0.9856454083394792,0.7372411215949491,0.7064441212896442,1.0,0.0143545916605209,0.2469259382229114,0.0158329401821393,0.1444879277044352,0.140295250689648,0.0042447205430045,0.004527979773268,1.0,1.0
2.0,13CGln,G11Q2,0.9822080760437192,0.7595532180699319,0.7588125161582211,1.0,0.0177919239562806,0.2236464348335468,0.0168003470965211,0.0988206146690435,0.1314997746450924,0.0060523155182161,0.0048147790094267,1.0,1.0
3.0,13CGln,G11Q2,0.9837543859648704,0.7566800251095935,0.7999962806995529,1.0,0.0162456140351296,0.2282003485711441,0.0151196263192623,0.0867659240515602,0.0970429160553013,0.0046853809829111,0.0115094982106744,1.0,1.0
4.0,13CGln,G11Q2,0.9771429879839292,0.7589298198105667,0.7151700062527083,1.0,0.022857012016071,0.2272023777898171,0.0138678023996161,0.1390231750287734,0.1377768704575197,0.0080299482609985,0.0,1.0,1.0
